Skip to main content
opens in new tab or window
Historic Designations and Districts
View Full Screen Map
jasujazumdinski
List of City of Pittsburgh Designated Sites and Districts
Full List of City-Designated Properties(PDF, 213KB)
Previous column Next column
| 412 Boulevard of the Allies | Individual | Downtown | 412 Boulevard of the Allies Nomination412 Boulevard of the Allies January 4, 2023 |
| Pennsylvania National Bank | Individual | Lawrenceville | Pennsylvania National Bank Nomination(PDF, 2MB)Pennsylvania National Bank 03-13-20 |
| Pittsburgh Stained Glass Studio | Individual | West End | Pittsburgh Stained Glass NominationCity Council Resolution 11-27-2024 |
| Rodef Shalom | Individual | Shadyside | Rodef Shalom Nomination(PDF, 9MB) |
| Roslyn Place Historic District | District | Shadyside | Roslyn Place Map(PDF, 118KB)Guidelines update in progress |
| Sal's Barber Shop | Individual | Brookline | Sal's Barber Shop Nomination(PDF, 2MB)Sal's Barber Shop 04-10-24 |
| Schenley Bridge | Individual | Schenley Park | Schenley Bridge 07-26-02 |
| Schenley Farms Historic District | District | North OaklandUpper Hill | Schenley Farms Map(PDF, 77KB)Guidelines update in progress |
| Shrine of the Blessed Mother | Individual | South Oakland | Shrine of the Blessed Mother Nomination(PDF, 5MB)Shrine of the Blessed Mother 10-13-20 |
| South Side Presbyterian Church | Individual | South Side Flats | South Side Presbyterian Church Nomination(PDF, 11MB) |
| Spring Hill Elementary School | Individual | Spring Hill | Spring Hill Elementary School Nomination(PDF, 10MB)Spring Hill Elementary School 10-28-20 |
| Tito House | Individual | Crawford-Roberts | Tito House Nomination(PDF, 10MB)Tito House 06-11-22 |
| Troy Hill Fire House | Individual | Troy Hill | Troy Hill Fire House Nomination(PDF, 3MB)Troy Hill Fire House 07-21-22 |
| Turney House | Individual | Lawrenceville | Turney House Nomination(PDF, 27MB) |
| Walton House | Individual | Lawrenceville | Walton House Nomination(PDF, 1MB) |
| Weis US Post Office &amp; Courthouse | Individual | Downtown | Weis US Post Office &amp; Courthouse Nomination(PDF, 16MB)Weis US Post Office &amp; Courthouse 03-13-20 |
| Westinghouse Memorial | Individual | Schenley ParkSquirrel Hill South | Westinghouse Memorial Nomination(PDF, 4MB) |
| Veteran's Memorial Parklet (Brookline Memorial Cannon) | Individual | Brookline | Veteran's Memorial Parklet Nomination(PDF, 7MB)Veteran's Memorial Parklet 05-21-24 |
| Voegtly Spring | Individual | Spring Hill | Voegtly Spring Nomination(PDF, 11MB) |
last updated: 09/09/2025
Back to top
Ready
jasujazumdinski
